[probe] armed
[probe] z18 markers=194 frames=5 fps=4.4 p50=96.2ms p95=727.1ms worst=727.1ms dropped=22 gps=1 body=45 fetch=2
[probe] z18 markers=194 frames=2 fps=1.8 p50=596.9ms p95=596.9ms worst=596.9ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=794.8ms p95=794.8ms worst=794.8ms dropped=1 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=618.9ms p95=618.9ms worst=618.9ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=599.5ms p95=599.5ms worst=599.5ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=792.5ms p95=792.5ms worst=792.5ms dropped=1 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=900.0ms p95=900.0ms worst=900.0ms dropped=1 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=798.1ms p95=798.1ms worst=798.1ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=891.5ms p95=891.5ms worst=891.5ms dropped=1 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.9 p50=590.7ms p95=590.7ms worst=590.7ms dropped=0 gps=0 body=11 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=778.5ms p95=778.5ms worst=778.5ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=593.9ms p95=593.9ms worst=593.9ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=592.0ms p95=592.0ms worst=592.0ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=868.3ms p95=868.3ms worst=868.3ms dropped=1 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=778.8ms p95=778.8ms worst=778.8ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.9 p50=566.3ms p95=566.3ms worst=566.3ms dropped=0 gps=0 body=11 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=751.0ms p95=751.0ms worst=751.0ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.9 p50=560.7ms p95=560.7ms worst=560.7ms dropped=0 gps=0 body=11 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=735.1ms p95=735.1ms worst=735.1ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=744.4ms p95=744.4ms worst=744.4ms dropped=1 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=558.7ms p95=558.7ms worst=558.7ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=754.9ms p95=754.9ms worst=754.9ms dropped=1 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=571.4ms p95=571.4ms worst=571.4ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=557.9ms p95=557.9ms worst=557.9ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=560.6ms p95=560.6ms worst=560.6ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=571.1ms p95=571.1ms worst=571.1ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=565.6ms p95=565.6ms worst=565.6ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=573.7ms p95=573.7ms worst=573.7ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=685.9ms p95=685.9ms worst=685.9ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=754.7ms p95=754.7ms worst=754.7ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=861.7ms p95=861.7ms worst=861.7ms dropped=1 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.2 p50=844.6ms p95=844.6ms worst=844.6ms dropped=0 gps=0 body=17 fetch=0
[probe] z18 markers=194 frames=2 fps=1.3 p50=844.1ms p95=844.1ms worst=844.1ms dropped=0 gps=0 body=17 fetch=0
[probe] z18 markers=194 frames=2 fps=1.3 p50=844.6ms p95=844.6ms worst=844.6ms dropped=0 gps=0 body=17 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=758.8ms p95=758.8ms worst=758.8ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=2.0 p50=548.1ms p95=548.1ms worst=548.1ms dropped=0 gps=0 body=11 fetch=0
