[probe] armed
[probe] z18 markers=194 frames=5 fps=4.4 p50=110.0ms p95=791.9ms worst=791.9ms dropped=13 gps=1 body=48 fetch=2
[probe] z18 markers=194 frames=2 fps=1.8 p50=588.2ms p95=588.2ms worst=588.2ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.2 p50=873.2ms p95=873.2ms worst=873.2ms dropped=0 gps=0 body=18 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=682.2ms p95=682.2ms worst=682.2ms dropped=0 gps=0 body=11 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=748.3ms p95=748.3ms worst=748.3ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.9 p50=565.2ms p95=565.2ms worst=565.2ms dropped=0 gps=0 body=11 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=563.5ms p95=563.5ms worst=563.5ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=652.6ms p95=652.6ms worst=652.6ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.9 p50=597.6ms p95=597.6ms worst=597.6ms dropped=0 gps=0 body=11 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=724.3ms p95=724.3ms worst=724.3ms dropped=0 gps=0 body=18 fetch=0
[probe] z18 markers=194 frames=2 fps=1.9 p50=556.1ms p95=556.1ms worst=556.1ms dropped=0 gps=0 body=8 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=653.9ms p95=653.9ms worst=653.9ms dropped=0 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=553.0ms p95=553.0ms worst=553.0ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=3 fps=1.9 p50=560.3ms p95=640.8ms worst=640.8ms dropped=1 gps=0 body=17 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=560.0ms p95=560.0ms worst=560.0ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=824.1ms p95=824.1ms worst=824.1ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=736.7ms p95=736.7ms worst=736.7ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=3 fps=1.8 p50=549.2ms p95=755.9ms worst=755.9ms dropped=1 gps=0 body=18 fetch=0
