[probe] armed
[probe] z18 markers=9 frames=56 fps=55.3 p50=16.7ms p95=16.7ms worst=78.7ms dropped=5 gps=0 body=6 fetch=2
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=9 frames=59 fps=59.0 p50=16.7ms p95=16.7ms worst=33.3ms dropped=1 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=53 fps=53.0 p50=16.7ms p95=35.3ms worst=66.0ms dropped=15 gps=0 body=3 fetch=3
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
[probe] z18 markers=59 frames=60 fps=60.0 p50=16.7ms p95=16.7ms worst=16.7ms dropped=0 gps=0 body=0 fetch=0
