[probe] armed
[probe] z18 markers=194 frames=6 fps=4.8 p50=94.8ms p95=563.6ms worst=563.6ms dropped=21 gps=1 body=41 fetch=2
[probe] z18 markers=194 frames=2 fps=1.3 p50=865.8ms p95=865.8ms worst=865.8ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=618.1ms p95=618.1ms worst=618.1ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=617.1ms p95=617.1ms worst=617.1ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=849.2ms p95=849.2ms worst=849.2ms dropped=1 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=624.2ms p95=624.2ms worst=624.2ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=615.5ms p95=615.5ms worst=615.5ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.1 p50=916.9ms p95=916.9ms worst=916.9ms dropped=0 gps=0 body=17 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=632.4ms p95=632.4ms worst=632.4ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=653.5ms p95=653.5ms worst=653.5ms dropped=1 gps=0 body=10 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=809.5ms p95=809.5ms worst=809.5ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=808.4ms p95=808.4ms worst=808.4ms dropped=1 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=639.2ms p95=639.2ms worst=639.2ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.3 p50=895.3ms p95=895.3ms worst=895.3ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=602.5ms p95=602.5ms worst=602.5ms dropped=0 gps=0 body=11 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=803.5ms p95=803.5ms worst=803.5ms dropped=1 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=798.0ms p95=798.0ms worst=798.0ms dropped=1 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=614.3ms p95=614.3ms worst=614.3ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.1 p50=933.5ms p95=933.5ms worst=933.5ms dropped=0 gps=0 body=17 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=624.2ms p95=624.2ms worst=624.2ms dropped=0 gps=0 body=11 fetch=0
[probe] z18 markers=194 frames=2 fps=1.3 p50=853.6ms p95=853.6ms worst=853.6ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.9 p50=636.9ms p95=636.9ms worst=636.9ms dropped=1 gps=0 body=10 fetch=0
[probe] z18 markers=194 frames=2 fps=1.1 p50=926.8ms p95=926.8ms worst=926.8ms dropped=0 gps=0 body=17 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=639.0ms p95=639.0ms worst=639.0ms dropped=0 gps=0 body=11 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=812.7ms p95=812.7ms worst=812.7ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=624.8ms p95=624.8ms worst=624.8ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.1 p50=959.6ms p95=959.6ms worst=959.6ms dropped=0 gps=0 body=17 fetch=0
[probe] z18 markers=194 frames=2 fps=1.3 p50=909.3ms p95=909.3ms worst=909.3ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=813.6ms p95=813.6ms worst=813.6ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=636.7ms p95=636.7ms worst=636.7ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=625.7ms p95=625.7ms worst=625.7ms dropped=0 gps=0 body=12 fetch=0
