[probe] armed
[probe] z18 markers=184 frames=18 fps=17.5 p50=36.8ms p95=426.6ms worst=426.6ms dropped=48 gps=1 body=103 fetch=2
[probe] z18 markers=184 frames=41 fps=40.6 p50=16.7ms p95=45.1ms worst=50.3ms dropped=38 gps=0 body=196 fetch=0
[probe] z18 markers=184 frames=43 fps=43.0 p50=16.7ms p95=50.9ms worst=52.5ms dropped=36 gps=0 body=177 fetch=0
[probe] z18 markers=184 frames=41 fps=40.9 p50=16.7ms p95=48.0ms worst=54.2ms dropped=39 gps=0 body=184 fetch=0
[probe] z18 markers=184 frames=41 fps=41.0 p50=16.7ms p95=45.6ms worst=49.9ms dropped=37 gps=0 body=197 fetch=0
[probe] z18 markers=184 frames=49 fps=48.4 p50=16.7ms p95=35.7ms worst=36.5ms dropped=30 gps=0 body=212 fetch=0
[probe] z18 markers=184 frames=47 fps=47.0 p50=16.7ms p95=35.8ms worst=36.4ms dropped=27 gps=0 body=200 fetch=0
[probe] z18 markers=184 frames=43 fps=43.0 p50=16.7ms p95=41.6ms worst=48.5ms dropped=30 gps=0 body=191 fetch=0
[probe] z18 markers=184 frames=47 fps=46.3 p50=16.7ms p95=38.9ms worst=45.5ms dropped=28 gps=0 body=213 fetch=0
[probe] z18 markers=184 frames=39 fps=39.0 p50=16.7ms p95=50.2ms worst=57.6ms dropped=31 gps=0 body=199 fetch=0
[probe] z18 markers=184 frames=44 fps=44.0 p50=16.7ms p95=37.9ms worst=47.7ms dropped=30 gps=0 body=200 fetch=0
[probe] z18 markers=184 frames=48 fps=48.0 p50=16.7ms p95=35.2ms worst=35.9ms dropped=23 gps=0 body=205 fetch=0
[probe] z18 markers=184 frames=46 fps=45.2 p50=16.7ms p95=38.2ms worst=43.1ms dropped=29 gps=0 body=204 fetch=0
[probe] z18 markers=184 frames=49 fps=47.4 p50=16.7ms p95=35.6ms worst=44.5ms dropped=23 gps=0 body=214 fetch=0
[probe] z18 markers=184 frames=41 fps=40.9 p50=16.7ms p95=39.8ms worst=48.6ms dropped=37 gps=0 body=191 fetch=0
[probe] z18 markers=184 frames=46 fps=45.5 p50=16.7ms p95=41.2ms worst=48.0ms dropped=31 gps=0 body=197 fetch=0
[probe] z18 markers=184 frames=47 fps=47.0 p50=16.7ms p95=35.2ms worst=38.4ms dropped=24 gps=0 body=206 fetch=0
[probe] z18 markers=184 frames=48 fps=48.0 p50=16.7ms p95=35.3ms worst=36.1ms dropped=24 gps=0 body=206 fetch=0
[probe] z18 markers=184 frames=47 fps=47.0 p50=16.7ms p95=36.1ms worst=44.8ms dropped=25 gps=0 body=209 fetch=0
[probe] z18 markers=184 frames=48 fps=48.0 p50=16.7ms p95=36.5ms worst=37.0ms dropped=29 gps=0 body=206 fetch=0
[probe] z18 markers=184 frames=47 fps=47.0 p50=16.7ms p95=36.0ms worst=37.7ms dropped=26 gps=0 body=203 fetch=0
[probe] z18 markers=184 frames=48 fps=48.0 p50=16.7ms p95=35.5ms worst=35.8ms dropped=23 gps=0 body=206 fetch=0
[probe] z18 markers=184 frames=45 fps=45.0 p50=16.7ms p95=38.5ms worst=50.9ms dropped=35 gps=0 body=205 fetch=0
[probe] z18 markers=184 frames=44 fps=44.0 p50=16.7ms p95=38.3ms worst=52.4ms dropped=32 gps=0 body=200 fetch=0
[probe] z18 markers=184 frames=47 fps=47.0 p50=16.7ms p95=35.7ms worst=37.6ms dropped=28 gps=0 body=200 fetch=0
[probe] z18 markers=184 frames=45 fps=45.0 p50=16.7ms p95=37.6ms worst=46.4ms dropped=31 gps=0 body=203 fetch=0
[probe] z18 markers=184 frames=49 fps=49.0 p50=16.7ms p95=35.1ms worst=35.4ms dropped=19 gps=0 body=212 fetch=0
[probe] z18 markers=184 frames=41 fps=40.9 p50=16.7ms p95=45.5ms worst=50.5ms dropped=34 gps=0 body=194 fetch=0
[probe] z18 markers=184 frames=46 fps=45.4 p50=16.7ms p95=37.7ms worst=47.4ms dropped=25 gps=0 body=207 fetch=0
[probe] z18 markers=184 frames=46 fps=46.0 p50=16.7ms p95=37.6ms worst=47.8ms dropped=31 gps=0 body=210 fetch=0
[probe] z18 markers=184 frames=46 fps=46.0 p50=16.7ms p95=37.1ms worst=39.0ms dropped=32 gps=0 body=197 fetch=0
[probe] z18 markers=184 frames=44 fps=44.0 p50=16.7ms p95=36.9ms worst=47.0ms dropped=35 gps=0 body=197 fetch=0
[probe] z18 markers=184 frames=42 fps=41.9 p50=16.7ms p95=39.3ms worst=59.7ms dropped=35 gps=0 body=174 fetch=0
[probe] z18 markers=184 frames=46 fps=45.2 p50=16.7ms p95=36.5ms worst=48.0ms dropped=33 gps=0 body=201 fetch=0
[probe] z18 markers=184 frames=44 fps=43.3 p50=16.7ms p95=36.2ms worst=46.6ms dropped=30 gps=0 body=198 fetch=0
[probe] z18 markers=184 frames=39 fps=38.1 p50=16.7ms p95=46.6ms worst=50.6ms dropped=33 gps=0 body=177 fetch=0
[probe] z18 markers=184 frames=43 fps=42.6 p50=16.7ms p95=38.5ms worst=57.3ms dropped=30 gps=0 body=199 fetch=0
[probe] z18 markers=184 frames=41 fps=41.0 p50=16.7ms p95=37.8ms worst=49.1ms dropped=36 gps=0 body=190 fetch=0
[probe] z18 markers=184 frames=39 fps=38.4 p50=16.7ms p95=49.3ms worst=54.8ms dropped=40 gps=0 body=156 fetch=0
[probe] z18 markers=184 frames=38 fps=38.0 p50=16.7ms p95=59.9ms worst=61.5ms dropped=37 gps=0 body=165 fetch=0
[probe] z18 markers=184 frames=41 fps=41.0 p50=16.7ms p95=44.4ms worst=53.1ms dropped=38 gps=0 body=182 fetch=0
[probe] z18 markers=184 frames=31 fps=30.5 p50=32.7ms p95=62.2ms worst=71.1ms dropped=47 gps=0 body=158 fetch=0
[probe] z18 markers=184 frames=32 fps=32.0 p50=31.9ms p95=52.4ms worst=57.8ms dropped=40 gps=0 body=144 fetch=0
