qSpecies_string,species_id,confidence
Platanus x acerifolia - London planetree,8c5e07b9-e2c8-55f2-b44a-a3073cbe3f72,0.75
Gleditsia triacanthos var. inermis - Thornless honeylocust,579354bc-9c0f-594d-b73e-9b0bf6a3bf01,0.90
Quercus palustris - pin oak,1f46b39b-30b0-51a9-8f88-3916a1ef6af5,1.00
Pyrus calleryana - Callery pear,fc55d55a-8706-593e-9ca8-c2d0b6cba3e7,1.00
Zelkova serrata - Japanese zelkova,3614781d-c947-5e25-b21b-b87b6bb2267a,1.00
Tilia cordata - littleleaf linden,d4c85034-f65a-58ba-b069-b2b837e634b7,1.00
Acer platanoides - Norway maple,2597f641-0924-5655-a365-c01d1ba4c620,1.00
Prunus serrulata 'Green leaf' - 'Green leaf' Japanese flowering cherry,9596b71d-aa14-5032-88d9-b9c5b5feee99,0.90
Ginkgo biloba - maidenhair tree,f5df51ba-bfd4-5f80-b241-85f8d6763671,1.00
Acer rubrum - red maple,aeddf3cd-6091-5b26-bf15-70dd35c56c54,1.00
Styphnolobium japonicum - Japanese pagoda tree,a274dcbb-80fb-5d23-8250-dc3650ae29af,1.00
Liquidambar styraciflua - sweetgum,16934db9-16c4-5fb9-86e3-45177c3737ae,1.00
Quercus rubra - northern red oak,81e6db1f-a2e3-57bf-a230-c48b23d81b7e,1.00
Fraxinus pennsylvanica - Green ash,,1.00
Quercus bicolor - swamp white oak,,1.00
Tilia americana - American basswood,d3fc96d6-1c66-53ec-b3ff-15b9ecf1abd3,1.00
Ulmus americana - American elm,79cca032-a54f-5ab0-94c3-1f4b36de2745,1.00
Acer saccharinum - silver maple,a4084acb-f39b-5e0b-9a5e-cce5a367f282,1.00
Celtis occidentalis - common hackberry,870cf55e-0c5b-5642-ace4-fce540523f06,1.00
Cercis canadensis - eastern redbud,f768334a-6811-5485-8b5f-f4d14c698ece,1.00
Tilia tomentosa - silver linden,1a46577c-59c4-5f35-8297-1de9f2402ca4,1.00
Morus - mulberry,273fd810-ac7f-5345-add1-45aafef90c6e,0.70
Gymnocladus dioicus - Kentucky coffeetree,,1.00
Malus - apple,739c7107-6028-5eea-81a6-a09abb7d1406,0.70
Prunus - Cherry,a20a008e-c1fe-5078-aeaa-5a265579dec7,0.70
Prunus cerasifera - cherry plum,6393a177-ef67-568b-85a1-34e11cc3c720,1.00
Prunus serotina - black cherry,,1.00
Koelreuteria paniculata - goldenrain tree,74a57c4a-235f-59c0-b636-6f4178b18506,1.00
Syringa reticulata - Japanese tree lilac,4d22c9a2-3c83-50eb-a47e-f06e339b9546,1.00
Quercus phellos - willow oak,,1.00
Robinia pseudoacacia - black locust,e6d5c938-c52c-5152-8aa6-406118c692b2,1.00
Crataegus - Hawthorn,,0.70
Carpinus betulus - European hornbeam,938eae33-7294-56b6-bf84-1b8d00151b63,1.00
Metasequoia glyptostroboides - dawn redwood,1096258a-3fba-5dae-8d70-f7cbe5a022c5,1.00
Unknown - Unknown,,0.00
Acer - maple,2c3e1e43-b884-5a1f-a3ed-defa50dd309b,0.70
Maackia amurensis - Amur maackia,44b4daa3-4b37-5393-9461-430dba6ff301,1.00
Ulmus parvifolia - Chinese elm,b4ad0a9f-7aa9-5eee-b136-8d3622a32dc1,1.00
Zelkova serrata 'Green Vase' - 'Green Vase' Zelkova,9d2cdfdb-88fa-5e31-9033-3f66c4151851,0.90
Acer platanoides 'Not Green Leaf' - 'Not Green Leaf' Norway maple,2597f641-0924-5655-a365-c01d1ba4c620,0.90
Quercus acutissima - sawtooth oak,,1.00
Gleditsia triacanthos var. inermis 'Skyline' - 'Skyline' Thornless honeylocust,579354bc-9c0f-594d-b73e-9b0bf6a3bf01,0.90
Pinus strobus - eastern white pine,574f58de-5361-5488-9aed-cd1c486cc9d2,1.00
Ulmus pumila - Siberian elm,6438a6d0-c3c5-53c8-a0c1-c669528ae05f,1.00
Prunus serrulata 'Not Green leaf' - 'Not Green leaf' Japanese flowering cherry,9596b71d-aa14-5032-88d9-b9c5b5feee99,0.90
Quercus alba - white oak,c39785dd-406a-596a-8947-85a546e18786,1.00
Juniperus virginiana - eastern redcedar,,1.00
Acer campestre - hedge maple,4113058e-62f3-56fe-a34c-d728254892b3,1.00
Quercus - Oak,fff6ccff-666b-519f-9d8a-bd6d4a9fe49b,0.70
Carpinus caroliniana - American hornbeam,,1.00
Quercus coccinea - scarlet oak,75ec88fe-97e7-55e3-aa0d-5517c87be880,1.00
Quercus imbricaria - shingle oak,,1.00
Ailanthus altissima - tree of heaven,35faf581-4855-569b-8698-d28ff7df11f8,1.00
Ulmus americana 'Princeton' - 'Princeton' American elm,79cca032-a54f-5ab0-94c3-1f4b36de2745,0.90
Eucommia ulmoides - Hardy Rubber Tree,,1.00
Prunus serrulata 'Kwanzan' - 'Kwanzan' Flowering cherry,967ed14a-54ac-5a8d-a8b6-eeebcd89226b,0.90
Taxodium distichum - bald cypress,,1.00
Acer pseudoplatanus - sycamore maple,37ea58a2-321d-5d66-b4be-190c9735879c,1.00
Amelanchier - serviceberry,,0.70
Quercus macrocarpa - bur oak,a9594485-e325-5e3f-beae-f73c05dc9da5,1.00
Cornus florida - flowering dogwood,68cf86fe-1217-550b-b651-04a870463229,1.00
Fraxinus americana - white ash,87fa82a7-ea95-583a-9917-dd34005895b4,1.00
Tilia tomentosa 'Sterling' - 'Sterling' Silver linden,1a46577c-59c4-5f35-8297-1de9f2402ca4,0.90
Liriodendron tulipifera - tuliptree,22570857-6689-52dd-856c-630e8306c299,1.00
Tilia americana 'Redmond' - 'Redmond' American linden,529f9424-9976-5868-858f-22febcc2d7eb,0.90
Acer saccharum - sugar maple,d903b3ee-075f-5d06-bed5-e70b04461ffc,1.00
Quercus shumardii - Shumard's oak,d7d4976d-3879-59a8-8c07-d51b12ce7ab8,1.00
Cladrastis kentukea - Kentucky yellowwood,,1.00
Fraxinus - Ash,129b938a-c137-54e0-834b-93613674af2e,0.70
Platanus x acerifolia 'Bloodgood' - 'Bloodgood' London planetree,b9a547f2-c7f5-5fbb-ade5-131918bb6f26,0.75
Betula nigra - river birch,dfaa8415-82d4-58eb-84d6-6d96d9aee807,1.00
Quercus robur - English oak,5c33d272-9bd0-51ca-9544-d019635ddac2,1.00
Pinus - pine,11bf2253-8f59-51a6-b053-913e2afc4ba0,0.70
Quercus ellipsoidalis - northern pin oak,,1.00
Quercus velutina - black oak,,1.00
Acer ginnala - Amur maple,2c4f47c0-1634-5531-99d0-5c3da1e8c8a3,1.00
Gymnocladus dioicus 'Espresso' - 'Espresso' Kentucky coffee tree,,0.90
Platanus x acerfolia 'Exclamation' - 'Exclamation' London planetree,8c5e07b9-e2c8-55f2-b44a-a3073cbe3f72,0.75
Ostrya virginiana - hophornbeam,,1.00
Syringa reticulata 'Ivory Silk' - 'Ivory Silk' Japanese tree lilac,4d22c9a2-3c83-50eb-a47e-f06e339b9546,0.90
Betula nigra 'Heritage' - 'Heritage' River birch,dfaa8415-82d4-58eb-84d6-6d96d9aee807,0.90
Acer palmatum - Japanese maple,fc3456c8-9312-5bc8-851e-e50242e170f6,1.00
Platanus occidentalis - American sycamore,d9b77210-1b3f-5d0c-ac22-649f0360c6dc,1.00
Tilia cordata 'Greenspire' - 'Greenspire' Littleleaf linden,ba9b1516-7e48-5669-b87c-d218fa4bcadd,0.90
Cornus mas - Cornelian cherry,,1.00
Tilia x. europaea - Common linden,,0.75
Populus deltoides - eastern cottonwood,3065f22e-055f-52f2-be09-80cd3c23088f,1.00
Prunus x yedoensis - Yoshino cherry,6249ead3-4bd6-5e00-9390-feea11c998ea,0.75
Magnolia - magnolia,d5ebf801-2699-5398-90bb-d7be7e6c18cd,0.70
Pinus resinosa - red pine,,1.00
Aesculus hippocastanum - horse chestnut,d444c8e3-5244-514f-8bea-643628fa4519,1.00
Cornus kousa - kousa dogwood,,1.00
Nyssa sylvatica - blackgum,383fddb5-3cee-5381-b40b-42dc05918558,1.00
Thuja occidentalis - arborvitae,,1.00
Zelkova serrata 'Village Green' - 'Village Green' Zelkova,607fcaca-3d71-53d6-8645-87c16b66dcb0,0.90
Quercus muehlenbergii - chinkapin oak,,1.00
Liquidambar styraciflua 'Moraine' - 'Moraine' Sweetgum,16934db9-16c4-5fb9-86e3-45177c3737ae,0.90
Prunus serrulata - Japanese flowering cherry,9596b71d-aa14-5032-88d9-b9c5b5feee99,1.00
Gleditsia triacanthos - Honeylocust,579354bc-9c0f-594d-b73e-9b0bf6a3bf01,1.00
Acer x freemanii 'Autumn Blaze' - 'Autumn Blaze' Freeman maple,4bdd1d98-1f70-5689-a551-4fbfd7307c04,0.75
Cercidiphyllum japonicum - katsura tree,3328f338-92cc-5a5f-a50b-12b7b6a4f60c,1.00
Lagerstroemia - lagerstroemia,,0.70
Acer rubrum 'Redpointe' - 'Redpointe' Red maple,aeddf3cd-6091-5b26-bf15-70dd35c56c54,0.90
Fagus grandifolia - American beech,,1.00
Prunus subhirtella 'Autumnalis' - 'Autumnalis' Higan cherry,a75aeb3f-3b81-5bf3-9a4b-5e7160c64a56,0.90
Acer rubrum 'October Glory' - 'October Glory' Red maple,a7b4dd43-4ccc-5bd6-8510-10ab3c6159db,0.90
Amelanchier 'Autumn Brilliance' - 'Autumn Brilliance' Serviceberry,,0.60
Parrotia persica - Persian ironwood,7dc2fb47-49fc-54fe-9eff-76abe521e912,1.00
Zelkova serrata 'Mushashino' - 'Mushashino' Zelkova,3614781d-c947-5e25-b21b-b87b6bb2267a,0.90
Acer rubrum 'Red Sunset' - 'Red Sunset' Red maple,aeddf3cd-6091-5b26-bf15-70dd35c56c54,0.90
Ilex - holly,0094f86e-66cf-56bc-9bf7-bcec3c8b83e5,0.70
Carpinus betulus 'Fastigiata' - 'Fastigiata' European hornbeam,3d4962bc-5fba-5eee-8200-4aa09466f95e,0.90
Ginkgo biloba 'Magyar' - 'Magyar' Ginkgo,f5df51ba-bfd4-5f80-b241-85f8d6763671,0.90
Styphnolobium japonicum 'Millstone' - 'Millstone' Japanese pagodatree,a274dcbb-80fb-5d23-8250-dc3650ae29af,0.90
Platanus x acerifolia 'Columbia' - 'Columbia' London planetree,b5bba3a0-c3e4-5d45-960f-261ecc40cef8,0.75
Tilia americana 'Boulevard' - 'Boulevard' American linden,d3fc96d6-1c66-53ec-b3ff-15b9ecf1abd3,0.90
Catalpa - catalpa,,0.70
Syringa pekinensis 'Summer Charm' - 'Summer Charm' Peking lilac,,0.90
Acer griseum - paperbark maple,,1.00
Tilia mongolica 'Harvest Gold' - 'Harvest Gold' Mongolian linden,,0.90
Syringa pekinensis - Peking tree lilac,,1.00
Taxodium distichum 'Shawnee Brave' - 'Shawnee Brave' Bald cypress,,0.90
Picea - spruce,00f1207e-ce76-50f2-9cdb-279c2064700c,0.70
Acer negundo - boxelder,d348f8b4-f4f2-5ae6-945d-0b29372307f9,1.00
Tilia americana 'McSentry' - 'McSentry' American linden,d3fc96d6-1c66-53ec-b3ff-15b9ecf1abd3,0.90
Gleditsia triacanthos var. inermis 'Imperial' - 'Imperial' Thornless honeylocust,579354bc-9c0f-594d-b73e-9b0bf6a3bf01,0.90
Crataegus crus-galli var. inermis - Cockspur hawthorn,,0.90
Prunus 'Snow Goose' - 'Snow Goose' Cherry,a20a008e-c1fe-5078-aeaa-5a265579dec7,0.60
Ulmus 'Frontier' - 'Frontier' Elm,41a04727-984c-5c4d-9516-e88a42a29111,0.60
Acer miyabei 'State Street' -  'State Street' Miyabe maple,,0.90
Sassafras albidum - sassafras,,1.00
Chamaecyparis thyoides - Atlantic white cedar,,1.00
Acer x freemanii - Freeman maple,10abcc98-d512-5a8d-b1a5-18324788bb40,0.75
Zelkova serrata 'Wireless' - 'Wireless' Zelkova,3614781d-c947-5e25-b21b-b87b6bb2267a,0.90
Amelanchier canadensis - Canadian serviceberry,,1.00
Prunus x yedoensis 'Akebono' - 'Akebono' Yoshino cherry,8cc51207-a51f-502d-9c32-86d395163370,0.75
Zelkova serrata 'City Sprite' - 'City Sprite' Zelkova,3614781d-c947-5e25-b21b-b87b6bb2267a,0.90
Chionanthus retusus - Chinese fringetree,235bfca9-b40a-5491-b5dd-f25ece4649f0,1.00
Prunus virginiana 'Canada Red' - 'Canada Red' Chokecherry,,0.90
Acer platanoides 'Crimson King' - 'Crimson King' Norway maple,9152bf7a-d4bc-5b11-bbe5-7acda4238be6,0.90
Fagus sylvatica - European beech,dc9c06ec-dc27-55b7-8bbc-0b31b2c1e652,1.00
Carpinus betulus 'Emerald Avenue' - 'Emerald Avenue' European hornbeam,938eae33-7294-56b6-bf84-1b8d00151b63,0.90
