qSpecies_string,resolved_to,rule,authority,note
Platanus x acerifolia - London planetree,Platanus acerifolia,R1 hybrid sign,"ICN (Shenzhen Code) Art. H.3A.1, Art. 23.1","the multiplication sign is notation, not part of the epithet"
Gleditsia triacanthos var. inermis - Thornless honeylocust,Gleditsia triacanthos,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Quercus palustris - pin oak,Quercus palustris,R0 exact,-,already a corpus name
Pyrus calleryana - Callery pear,Pyrus calleryana,R0 exact,-,already a corpus name
Zelkova serrata - Japanese zelkova,Zelkova serrata,R0 exact,-,already a corpus name
Tilia cordata - littleleaf linden,Tilia cordata,R0 exact,-,already a corpus name
Acer platanoides - Norway maple,Acer platanoides,R0 exact,-,already a corpus name
Prunus serrulata 'Green leaf' - 'Green leaf' Japanese flowering cherry,Prunus serrulata,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Ginkgo biloba - maidenhair tree,Ginkgo biloba,R0 exact,-,already a corpus name
Acer rubrum - red maple,Acer rubrum,R0 exact,-,already a corpus name
Styphnolobium japonicum - Japanese pagoda tree,Styphnolobium japonicum,R0 exact,-,already a corpus name
Liquidambar styraciflua - sweetgum,Liquidambar styraciflua,R0 exact,-,already a corpus name
Quercus rubra - northern red oak,Quercus rubra,R0 exact,-,already a corpus name
Fraxinus pennsylvanica - Green ash,,unmapped (accepted),ITIS TSN 32929,accepted taxon absent from the corpus; the build mints it
Quercus bicolor - swamp white oak,,unmapped (accepted),ITIS TSN 19300,accepted taxon absent from the corpus; the build mints it
Tilia americana - American basswood,Tilia americana,R0 exact,-,already a corpus name
Ulmus americana - American elm,Ulmus americana,R0 exact,-,already a corpus name
Acer saccharinum - silver maple,Acer saccharinum,R0 exact,-,already a corpus name
Celtis occidentalis - common hackberry,Celtis occidentalis,R0 exact,-,already a corpus name
Cercis canadensis - eastern redbud,Cercis canadensis,R0 exact,-,already a corpus name
Tilia tomentosa - silver linden,Tilia tomentosa,R0 exact,-,already a corpus name
Morus - mulberry,Morus,R0 exact,-,already a corpus name
Gymnocladus dioicus - Kentucky coffeetree,,unmapped (accepted),ITIS TSN 502851,accepted taxon absent from the corpus; the build mints it
Malus - apple,Malus,R0 exact,-,already a corpus name
Prunus - Cherry,Prunus,R0 exact,-,already a corpus name
Prunus cerasifera - cherry plum,Prunus cerasifera,R0 exact,-,already a corpus name
Prunus serotina - black cherry,,unmapped (accepted),ITIS TSN 24764,accepted taxon absent from the corpus; the build mints it
Koelreuteria paniculata - goldenrain tree,Koelreuteria paniculata,R0 exact,-,already a corpus name
Syringa reticulata - Japanese tree lilac,Syringa reticulata,R0 exact,-,already a corpus name
Quercus phellos - willow oak,,unmapped (accepted),ITIS TSN 19282,accepted taxon absent from the corpus; the build mints it
Robinia pseudoacacia - black locust,Robinia pseudoacacia,R0 exact,-,already a corpus name
Crataegus - Hawthorn,,unmapped (accepted),ITIS TSN 24539,accepted taxon absent from the corpus; the build mints it
Carpinus betulus - European hornbeam,Carpinus betulus,R0 exact,-,already a corpus name
Metasequoia glyptostroboides - dawn redwood,Metasequoia glyptostroboides,R0 exact,-,already a corpus name
Unknown - Unknown,,non-taxon,RULINGS R18,"a tree of unknown species is a tree, not a species"
Acer - maple,Acer,R0 exact,-,already a corpus name
Maackia amurensis - Amur maackia,Maackia amurensis,R0 exact,-,already a corpus name
Ulmus parvifolia - Chinese elm,Ulmus parvifolia,R0 exact,-,already a corpus name
Zelkova serrata 'Green Vase' - 'Green Vase' Zelkova,Zelkova serrata 'Green Vase',R0 exact,-,already a corpus name
