qSpecies_string,species_id,confidence
Lophostemon confertus :: Brisbane Box,ea4f4595-b255-56a6-bfe9-b57d41267457,1.00
Tree :: Tree,,0.00
Platanus x hispanica :: Sycamore: London Plane,7d22dcda-354d-5f7d-9be0-3739ea8c6688,0.75
Jacaranda mimosifolia :: Jacaranda,24d6772a-b8bd-5a70-b823-239398828e1e,1.00
Eucalyptus globulus :: Blue Gum,4dc628b7-f764-5986-b508-63afd1836134,1.00
Callistemon viminalis :: Weeping Bottlebrush,ed867065-2def-5fd2-bccf-ea14330de3aa,1.00
Tristaniopsis laurina :: Swamp Myrtle,14182c5c-a190-5e38-ac0c-5fda78b68459,1.00
Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',b3d8b7a4-b473-5b28-9e19-e16c06fedeb1,0.90
Arbutus 'Marina' :: Hybrid Strawberry Tree,4bc73093-9727-559f-aed1-ad5731d8fb19,0.60
Cassia leptophylla :: Gold Medallion Tree,5015a315-2e5d-5499-a225-36f802fdf310,1.00
Magnolia grandiflora :: Southern Magnolia,9633ad82-e024-5fdf-ac1c-fc877b82dbc2,1.00
Pinus radiata :: Monterey Pine,c288cf24-60f6-597f-bf66-2b9b445a1a25,1.00
Koelreuteria bipinnata :: Chinese Flame Tree,0e2e3a4c-48e4-5113-9c9f-c197f5be6cc6,1.00
Lagunaria patersonii :: Primrose Tree,9f5842e1-186d-5bc5-9b50-da185df6bdbb,1.00
Eucalyptus polyanthemos :: Silver Dollar Eucalyptus,455ef35e-d583-5aae-bbd9-fa6813411cfa,1.00
Ginkgo biloba :: Maidenhair Tree,f5df51ba-bfd4-5f80-b241-85f8d6763671,1.00
Olea europaea :: Olive Tree,eb15cfcd-add4-54b8-b398-b6fc8fc057a9,1.00
Pittosporum undulatum :: Victorian Box,30e4fb9a-9350-5998-b96c-91281a4126c6,1.00
Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear,67b5f54b-b2b3-5914-aa1a-cab243de56e9,0.90
Cupressus macrocarpa :: Monterey Cypress,f909a9ee-939c-5933-8220-66bb56d0c923,1.00
Melaleuca quinquenervia :: Cajeput,4b9e1d5d-c949-539a-b7f5-9771504e3506,1.00
Pyrus calleryana :: Ornamental Pear,fc55d55a-8706-593e-9ca8-c2d0b6cba3e7,1.00
Acacia melanoxylon :: Blackwood Acacia,a6669e1b-f3be-5892-b6ac-f511994ee7aa,1.00
Aesculus x carnea :: Red Horse Chestnut,af1edbf1-d5a9-5b2e-b265-689dcd00fdd4,0.75
Ceanothus 'Ray Hartman' :: California Lilac 'Ray Hartman',8dd11200-8bd6-580d-8542-e1de1a6c8ea2,0.60
Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood,886887f2-d3ea-5e5b-980e-a889c450555a,0.90
Rhus lancea :: African Sumac,236b3bb6-a0d1-56ed-b29b-2b0d09fcf0e3,1.00
Cupressocyparis leylandii :: Leyland Cypress,9846c997-e925-51dc-997a-597110f3a0ce,1.00
Eriobotrya deflexa :: Bronze Loquat,a99e44cc-fdd9-5147-9ef1-e6566de12c8e,1.00
Pyrus kawakamii :: Evergreen Pear,142f687f-c164-58ea-b2af-3342b46f3e27,1.00
:: To Be Determine,,0.00
Callistemon citrinus :: Lemon Bottlebrush,c3d51eb4-42a0-585e-8836-7912cd7198af,1.00
Cordyline australis :: Dracena Palm,1630d455-2bd8-5f77-8388-9dd70b2621bb,1.00
Corymbia ficifolia :: Red Flowering Gum,32458031-0a81-52e8-83c2-7a56ae40ba5c,1.00
Laurus nobilis :: Sweet Bay: Grecian Laurel,8a89cf22-f48c-5ab5-af8d-93179fad49d9,1.00
Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,1725edd3-6817-53dc-809c-a0bcc7b32a51,0.90
Pittosporum crassifolium :: Karo Tree,0ae2641f-97f4-595f-84eb-1667f974f261,1.00
Quercus agrifolia :: Coast Live Oak,e2a00cba-0b52-5b88-bcb5-b824c9cb42c9,1.00
Tree(s) ::,,0.00
Brugmansia spp :: Angel trumpet,a190b51d-530f-53e7-92ad-73fb1d8b7076,0.75
Eucalyptus Spp :: Eucalyptus,f7b88461-8400-5b7c-beba-99bc690f1692,0.75
Ficus microcarpa :: Chinese Banyan,2542bcd5-d824-58b7-8705-59dfc37d6e13,1.00
Fraxinus uhdei :: Shamel Ash: Evergreen Ash,5ec8ee2f-eb59-527f-ac37-3c8f81d4b3d1,1.00
Hymenosporum flavum :: Sweetshade,e74755e9-3911-5683-92a2-489472b23300,1.00
Podocarpus gracilor :: Fern Pine,2b8ab941-b607-5360-819d-e650ed8f769b,1.00
Prunus cerasifera :: Cherry Plum,6393a177-ef67-568b-85a1-34e11cc3c720,1.00
Quercus suber :: Cork Oak,f809ab90-a52b-5cd9-8f95-f7454cd8770d,1.00
Quercus tomentella :: Island oak,5b864858-ac3b-57d3-ae31-e820ea8fd920,1.00
Yucca gloriosa :: Spanish Dagger,c118958b-45ae-5b77-9484-6a3a749d6c7f,1.00
Zelkova serrata :: Sawleaf Zelkova,3614781d-c947-5e25-b21b-b87b6bb2267a,1.00
Acer rubrum 'Armstrong' :: Armstrong Red Maple,3267250d-5dea-516b-9383-82009f11b7a9,0.90
Acer rubrum :: Red Maple,aeddf3cd-6091-5b26-bf15-70dd35c56c54,1.00
Agonis flexuosa :: Peppermint Willow,351ad4ed-24ad-5245-bd9b-3f3a2d100d1a,1.00
Brachychiton acerifolius :: Australian Flame Tree,3411e22f-daec-5dfd-8209-a58c629e8311,1.00
Cupressus sempervirens :: Italian Cypress,d64a2dcb-017c-506e-bac2-49391fb5e9b9,1.00
Heteromeles arbutifolia :: Toyon,0c225f79-1ff8-57c7-b7bc-b9fb278d1e0c,1.00
Juglans 'Paradox' :: Paradox Walnut Tree 'Paradox',d0cd5491-e0a5-578e-84af-dd4e8b5310ef,0.60
Maytenus boaria :: Mayten,11ef0468-ce98-5800-a4a6-20d909473c3c,1.00
Metrosideros excelsa :: New Zealand Xmas Tree,678a3e0f-9a5a-55f1-8588-293dc1a4c5d7,1.00
Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,967ed14a-54ac-5a8d-a8b6-eeebcd89226b,0.90
Tibochina urvilleana :: Princess Flower,e88455f2-bf79-56ef-9f66-3df094ad217a,1.00
Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',10de4265-12f3-5b16-940b-7e32a75c9d95,0.90
Ulmus parvifolia 'Drake' :: Drake's Chinese Elm,5195c33e-e753-58f8-8299-32fe90ac683a,0.90
Ulmus parvifolia :: Chinese Elm,b4ad0a9f-7aa9-5eee-b136-8d3622a32dc1,1.00
Washingtonia filifera :: California Fan Palm,01c6d686-ec44-51cb-b8ed-3bb04bb7e298,1.00
Washingtonia robusta :: Mexican Fan Palm,fed5828b-ea45-5130-b371-f3f62955cf1e,1.00
Yucca elephantipes :: Giant Yucca,dcb807b4-2f38-56fc-9dc7-558423b9882e,1.00
::,,0.00
Acer palmatum :: Japanese Maple,fc3456c8-9312-5bc8-851e-e50242e170f6,1.00
Acer rubrum 'Autumn Glory' :: Red Maple Tree 'Autumn Glory',f770c853-656f-525e-9226-93c1a3397fba,0.90
Araucaria heterophylla :: Norfolk Island Pine,c9dd8f90-7f9d-5a0f-b2f6-eae8315677bd,1.00
Bambusa spp :: Bamboo Species,5d265fc8-62d7-52a0-8b59-606e940b36b4,0.75
Chitalpa tashkentensis ::,552029fb-02ad-5648-9044-01e01fc1f19c,1.00
Citrus spp :: Lemon: Orange: Lime,921d9fd8-249c-59d3-bc45-01ee2f516d5b,0.75
Elaeocarpus decipiens :: Japanese Blueberry Tree,7f4db3cc-12af-56f3-9a58-77f8fe899dbc,1.00
Eriobotrya deflexa 'Coppertone' :: Coppertone Loquat,2ef2cd1c-3bcb-55a2-8e01-4a7919b38788,0.90
Ficus retusa nitida :: Banyan Fig,5ee6abb3-e596-5db5-8962-9ae75088a016,0.90
Geijera parviflora :: Australian Willow,f6eed0e7-9ef1-5f09-8166-baa20a8f5a93,1.00
Ginkgo biloba 'Princeton Sentry' :: Princeton Sentry Maidenhair,6006b15a-fb2c-5726-a543-3a3d58dcd60f,0.90
Grevillea robusta :: Silk Oak Tree,83ff864b-b7ff-51b4-b108-04d9703bef52,1.00
Koelreuteria paniculata :: Golden Rain Tree,74a57c4a-235f-59c0-b636-6f4178b18506,1.00
Leptospermum laevigatum :: Australian Tea Tree,864eab62-ca57-54cd-a594-010b4311062e,1.00
Leptospermum scoparium :: New Zealand Tea Tree,b273e0d6-6117-58ac-939c-4490b328b727,1.00
Leucodendron argenteum :: Silver Tree,87918427-23ae-57c7-a512-57b894bb2a30,1.00
Ligustrum lucidum :: Glossy Privet,43c56960-4385-59fe-9936-9fd9907f1c11,1.00
Liquidambar styraciflua :: American Sweet Gum,16934db9-16c4-5fb9-86e3-45177c3737ae,1.00
Magnolia doltsopa :: Himalayan Magnolia,ea46a5d1-90d4-50e9-ab9a-dccb2a1b1a2c,1.00
Nerium oleander :: Oleander,0e1a34ba-ae4b-545e-b526-e739e4890bfa,1.00
Persea americana :: Avocado,1a2a21fa-fe4a-52e8-bc42-b1b56e6e080c,1.00
Phoenix dactylifera :: Date Palm,3a90e17a-d4a5-59ff-8251-1e867f8a3643,1.00
Pinus canariensis :: Canary Island Pine,d339c3a0-cdd7-5629-940d-550ade14335f,1.00
Pistacia chinensis :: Chinese Pistache,eb5835fd-0ae8-5378-9a10-9f0c0b40d5bf,1.00
Platanus x hispanica 'Columbia' :: Columbia Hybrid Plane Tree,67203a0e-60c6-52a1-b7dc-95e22cd038f5,0.75
Populus nigra 'Italica' :: Lombardy Poplar,e8e27686-5ec6-5251-b910-7d1366c33658,0.90
Prunus cerasifera 'Krauter vesuvius' :: Purple Leaf Plum Krauter Vesuvius,a7cda9d4-473e-521f-92af-5ffed38e6e68,0.90
Prunus serrulata :: Ornamental Cherry,9596b71d-aa14-5032-88d9-b9c5b5feee99,1.00
Pseudotsuga menziesii :: Douglas Fir,3ee32509-22e6-55dc-9f06-a4745247108c,1.00
