qSpecies_string,species_id,confidence
Vacant site,,0.00
Platanus acerifolia,8c5e07b9-e2c8-55f2-b44a-a3073cbe3f72,1.00
Lagerstroemia indica,86820f2a-dd18-5630-91b5-335a0c7131c2,1.00
Pistacia chinensis,eb5835fd-0ae8-5378-9a10-9f0c0b40d5bf,1.00
Platanus acerifolia 'Yarwood',e0eeab20-548c-557f-99cb-fc330035cd7b,0.90
Pyrus calleryana,fc55d55a-8706-593e-9ca8-c2d0b6cba3e7,1.00
Washingtonia robusta,fed5828b-ea45-5130-b371-f3f62955cf1e,1.00
Platanus acerifolia 'Columbia',32e9c801-5a6d-51cc-9d54-2b0ad3fd3e91,0.90
Magnolia grandiflora,9633ad82-e024-5fdf-ac1c-fc877b82dbc2,1.00
Cinnamomum camphora,4109d505-6718-53e7-9e2c-9909bdcd5029,1.00
Washingtonia filifera,01c6d686-ec44-51cb-b8ed-3bb04bb7e298,1.00
Fraxinus angustifolia 'Raywood',c8788a7d-6123-532b-bef2-150efe168ce0,0.90
Ginkgo biloba,f5df51ba-bfd4-5f80-b241-85f8d6763671,1.00
Liquidambar styraciflua,16934db9-16c4-5fb9-86e3-45177c3737ae,1.00
Unknown,,0.00
Cupressus sempervirens,d64a2dcb-017c-506e-bac2-49391fb5e9b9,1.00
Zelkova serrata,3614781d-c947-5e25-b21b-b87b6bb2267a,1.00
Ligustrum lucidum,43c56960-4385-59fe-9936-9fd9907f1c11,1.00
Prunus cerasifera,6393a177-ef67-568b-85a1-34e11cc3c720,1.00
Betula pendula,042da646-e57d-5253-bf49-2b77052bc40d,1.00
Jacaranda mimosifolia,24d6772a-b8bd-5a70-b823-239398828e1e,1.00
Ulmus parvifolia,b4ad0a9f-7aa9-5eee-b136-8d3622a32dc1,1.00
Juglans regia,9ed1fe2e-6690-5c55-a100-a8e3029a62c3,1.00
Quercus agrifolia,e2a00cba-0b52-5b88-bcb5-b824c9cb42c9,1.00
Fraxinus velutina 'Glabra',06d0a2a9-9c4c-52f4-b5f0-f3422882bb38,0.90
Stump,,0.00
Sequoia sempervirens,4a424e2b-f9a5-5957-99a7-85fb240dfc3a,1.00
Chitalpa tashkentensis,552029fb-02ad-5648-9044-01e01fc1f19c,1.00
Vacant Site,,0.00
Syagrus romanzoffianum,698a01c6-ca43-5045-b68c-c31a2e1117bb,1.00
Celtis sinensis,c398e6a4-bc69-5582-a0a6-2e46927e4a59,1.00
Ailanthus altissima,35faf581-4855-569b-8698-d28ff7df11f8,1.00
,,0.00
Juglans hindsii,f213fee0-d3ee-5e85-a644-53262d26492e,1.00
Olea europaea,eb15cfcd-add4-54b8-b398-b6fc8fc057a9,1.00
Acer platanoides,2597f641-0924-5655-a365-c01d1ba4c620,1.00
Schinus molle,56e0a3ed-432a-5152-a39f-a09b3be8c0e4,1.00
Eriobotrya japonica,dd7d680f-4ea9-5688-a7a6-1b7135cbb608,1.00
Gleditisia triacanthos,5bf32567-592f-5cca-9964-ac28db3cd4e5,1.00
Quercus ilex,0446ccf7-5f5c-509f-bb98-56d42c5fad23,1.00
Geijera parviflora,f6eed0e7-9ef1-5f09-8166-baa20a8f5a93,1.00
Platanus orientalis,1b3b7460-e79f-5e4c-bd3c-f9be8243ebb6,1.00
Quercus shumardii,d7d4976d-3879-59a8-8c07-d51b12ce7ab8,1.00
Pyrus kawakamii,142f687f-c164-58ea-b2af-3342b46f3e27,1.00
Ulmus americana,79cca032-a54f-5ab0-94c3-1f4b36de2745,1.00
Acer saccharinum,a4084acb-f39b-5e0b-9a5e-cce5a367f282,1.00
Acer palmatum,fc3456c8-9312-5bc8-851e-e50242e170f6,1.00
Nerium oleander,0e1a34ba-ae4b-545e-b526-e739e4890bfa,1.00
Morus alba,efb76f39-c039-588c-a88a-5b8356c72356,1.00
Fraxinus,129b938a-c137-54e0-834b-93613674af2e,0.70
Prunus serrulata,9596b71d-aa14-5032-88d9-b9c5b5feee99,1.00
Acer rubrum,aeddf3cd-6091-5b26-bf15-70dd35c56c54,1.00
Prunus persica,30b4e651-6d3f-589d-9d51-8dff94cdbc64,1.00
Quercus suber,f809ab90-a52b-5cd9-8f95-f7454cd8770d,1.00
Laurus nobilis,8a89cf22-f48c-5ab5-af8d-93179fad49d9,1.00
Tristaniopsis laurina,14182c5c-a190-5e38-ac0c-5fda78b68459,1.00
Trachycarpus fortunei,03de6c4b-cb15-52bc-99d8-60e9263d2f38,1.00
Citrus,23d95403-d62f-5d2a-889c-226826b77c0c,0.70
Solanum rantonnetii,2e366b1e-7cf6-55e0-b592-168620f3959c,1.00
Pinus canariensis,d339c3a0-cdd7-5629-940d-550ade14335f,1.00
Triadica sebifera,6fa0af13-2d4c-5bff-8158-9e0c6778c37e,1.00
Prunus,a20a008e-c1fe-5078-aeaa-5a265579dec7,0.70
Acer buergeranum,6910c579-8460-56c9-9b4e-fbd394e25d17,1.00
Quercus lobata,15f2a9a3-39c5-5d6a-a591-d33fbae72ec7,1.00
Phoenix canariensis,566ab68a-3ed6-5345-b414-253b2bff95c4,1.00
Fraxinus uhdei,5ec8ee2f-eb59-527f-ac37-3c8f81d4b3d1,1.00
Ginkgo biloba 'Autumn Gold',20f335f8-ffe4-511e-97e6-2772e9264be4,0.90
Koelreuteria paniculata,74a57c4a-235f-59c0-b636-6f4178b18506,1.00
Robinia pseudoacacia,e6d5c938-c52c-5152-8aa6-406118c692b2,1.00
Arbutus 'Marina',4bc73093-9727-559f-aed1-ad5731d8fb19,0.60
Cercis occidentalis,1cdaaaa1-e0e2-5b9d-a18a-8f8148aee504,1.00
Persea americana,1a2a21fa-fe4a-52e8-bc42-b1b56e6e080c,1.00
Prunus amygdalus,8c721641-3560-569f-980f-080083e1e48b,1.00
Cercis canadensis,f768334a-6811-5485-8b5f-f4d14c698ece,1.00
Acer x fremanii 'Autumn Blaze',c06e71f9-f576-5951-91e1-574e79c53f2d,0.75
Ulmus propinqua 'JFS Bieberich',2c527b25-bba2-5ea9-af91-b6f2600ff750,0.90
Eucalyptus sideroxylon,498e0aeb-53a9-5ef7-9603-8507a73fa02b,1.00
Quercus virginiana,f25c7b11-8e79-5548-9dbf-0a6ff324c45c,1.00
Albizia julibrissin,248ed22b-1dbf-5648-9ced-7dc11917a3d7,1.00
Cedrus deodora,6b257081-6baf-5218-aaba-e1a6db2d7c6d,1.00
Ceratonia siliqua,657539eb-19ef-52da-9f12-e3a74ed27c51,1.00
Prunus blireiana,34f2861c-9d3f-513b-bec5-e05242de512b,1.00
Ulmus pumila,6438a6d0-c3c5-53c8-a0c1-c669528ae05f,1.00
Fraxinus americana,87fa82a7-ea95-583a-9917-dd34005895b4,1.00
Laurus nobilis 'Saratoga',c84f2784-4eed-5cca-904c-98da5c61fbfc,0.90
Acer,2c3e1e43-b884-5a1f-a3ed-defa50dd309b,0.70
Platanus racemosa,887bf022-3b31-549c-8400-9b6f371d0293,1.00
Ulmus,a40af43e-f1a8-5b93-ae6f-77bf177ce510,0.70
Acer negundo,d348f8b4-f4f2-5ae6-945d-0b29372307f9,1.00
Yucca gloriosa,c118958b-45ae-5b77-9484-6a3a749d6c7f,1.00
Malus,739c7107-6028-5eea-81a6-a09abb7d1406,0.70
Tilia tomentosa,1a46577c-59c4-5f35-8297-1de9f2402ca4,1.00
Ulmus x 'Frontier',f3b08b72-1805-5cb9-8a45-325eade8b6c8,0.75
Podocarpus gracilior,93a86c4b-c3c2-56f6-9eef-a46d372c5ea5,1.00
Pyrus,7651c321-45ed-594d-a98b-c95f3752b1ff,0.70
Pyrus calleryana 'Aristocrat',67b5f54b-b2b3-5914-aa1a-cab243de56e9,0.90
Acacia melanoxylon,a6669e1b-f3be-5892-b6ac-f511994ee7aa,1.00
Fraxinus americana 'Autumn Purple',dd7c759f-bbcc-55b7-ae3a-e43dc6dac0b6,0.90
Tilia cordata,d4c85034-f65a-58ba-b069-b2b837e634b7,1.00
Ulmus procera,a1a09ad5-7acb-5f69-a138-277bc3861e20,1.00
Koelreuteria bipinnata,0e2e3a4c-48e4-5113-9c9f-c197f5be6cc6,1.00
Chionanthus retusus,235bfca9-b40a-5491-b5dd-f25ece4649f0,1.00
Quercus frainetto,5c4aea7b-60dc-5168-bb3b-57a1b70f563f,1.00
Robinia ambigua 'Idahoensis',5cde1b23-3854-5400-ba62-42fefe6590a7,0.90
Sophora japonica,a256c3e2-fbf5-5212-957e-fc39fe9d4aa3,1.00
